,time1,signal1,time2,signal2
175,19.11,604.5428571,19.11,35.62857143
176,19.22,601.9714286,19.22,31.08571429
177,19.33,591.9142857,19.33,28.28571429
178,19.44,574.6857143,19.44,19.88571429
179,19.55,543.1428571,19.55,18.11428571
180,19.66,493.9428571,19.66,21.11428571
181,19.77,430.4571429,19.77,26.28571429
182,19.88,379.8857143,19.88,26.08571429
183,19.98,297,19.98,14.05714286
184,20.09,207.1142857,20.09,20.45714286
185,20.2,143.9428571,20.2,32.31428571
186,20.31,113.5142857,20.31,38.14285714
187,20.41,98.65714286,20.41,30.94285714
188,20.52,84.91428571,20.52,16.74285714
189,20.63,75.08571429,20.63,17.37142857
190,20.73,56.65714286,20.73,20.4
191,20.84,17.6,20.84,20.57142857
192,20.95,167.9428571,20.95,8.542857143
193,21.06,391.0285714,21.06,7.457142857
194,21.17,578.5142857,21.17,14.25714286
195,21.28,574.8857143,21.28,22.57142857
196,21.39,575.1714286,21.39,30.42857143
197,21.5,547.2857143,21.5,41.28571429
198,21.61,529.0285714,21.61,46.8
199,21.72,496.8285714,21.72,44.91428571
200,21.83,439,21.83,39.6
201,21.92,365.4,21.92,38.54285714
202,22.03,273.7142857,22.03,26.25714286
203,22.14,204.3714286,22.14,25.54285714
204,22.25,143.2,22.25,29.02857143
205,22.38,107.6571429,22.38,21.25714286
206,22.48,77.97142857,22.48,9.828571429
207,22.59,73.2,22.59,14.74285714
208,22.7,68.85714286,22.7,30.42857143
209,22.81,64.51428571,22.81,24.82857143
210,22.92,58.88571429,22.92,15.8
211,23.03,19.05714286,23.03,15.94285714
212,23.14,181.0285714,23.14,28.25714286
213,23.25,425.5142857,23.25,35.2
214,23.38,612.5142857,23.38,37
215,23.48,601.4285714,23.48,30.8
216,23.58,604.5428571,23.58,19.85714286
217,23.69,581.0571429,23.69,13.25714286
218,23.8,543.0571429,23.8,19.22857143
219,23.91,499.7428571,23.91,24.11428571
220,24.02,450.2285714,24.02,27.4
221,24.13,383.2571429,24.13,31.94285714
222,24.23,293.1142857,24.23,29.31428571
223,24.36,205.4285714,24.36,21.02857143
224,24.47,137.8571429,24.47,28.77142857
225,24.58,98.48571429,24.58,32.57142857
226,24.69,74.02857143,24.69,32.8
227,24.8,73.97142857,24.8,31
228,24.91,74.85714286,24.91,39.51428571
229,25.02,65.34285714,25.02,28.37142857
230,25.13,51.65714286,25.13,18.6
231,25.23,7.428571429,25.23,5.771428571
232,25.33,158.4,25.33,11.62857143
233,25.45,405.8857143,25.45,14.82857143
234,25.56,603.6857143,25.56,33.45714286
235,25.67,585.6857143,25.67,44.85714286
236,25.78,585.6,25.78,51.88571429
237,25.89,576.2857143,25.89,43.34285714
238,26,539.6571429,26,31.74285714
239,26.11,484.4857143,26.11,32.94285714
240,26.22,438.8571429,26.22,36.68571429
241,26.33,404.0857143,26.33,32.2
242,26.44,327.4,26.44,28.02857143
243,26.55,243.6285714,26.55,22.25714286
244,26.66,171.9714286,26.66,13.91428571
245,26.77,132.3142857,26.77,10.37142857
246,26.86,94.25714286,26.86,22.17142857
247,26.97,74.05714286,26.97,26.68571429
248,27.08,71.62857143,27.08,28.48571429
249,27.19,71.97142857,27.19,28.34285714
250,27.3,70.65714286,27.3,36.91428571
251,27.41,65.28571429,27.41,37.37142857
252,27.52,15.77142857,27.52,35.54285714
253,27.63,168.7428571,27.63,30.11428571
254,27.73,406.7428571,27.73,24.62857143
255,27.84,594.6857143,27.84,31.28571429
256,27.95,590.8571429,27.95,31.65714286
257,28.06,602.2571429,28.06,33.22857143
258,28.17,575.9714286,28.17,23.71428571
259,28.28,535.6,28.28,33.25714286
260,28.39,488.1714286,28.39,33.8
261,28.5,448.2571429,28.5,32.74285714
262,28.61,394.8571429,28.61,26.17142857
263,28.72,323.4285714,28.72,21.22857143
264,28.83,218.4,28.83,8.542857143
265,28.94,140.2,28.94,15.05714286
266,29.05,116.5428571,29.05,20.94285714
267,29.16,105.4285714,29.16,24.22857143
268,29.25,88.14285714,29.25,19.25714286
269,29.38,72.11428571,29.38,19.22857143
270,29.48,71.8,29.48,17.74285714
271,29.59,67.34285714,29.59,25.02857143
272,29.7,62.8,29.7,30.62857143
273,29.81,41.91428571,29.81,32.91428571
274,29.92,203.7714286,29.92,27.77142857
275,30.03,440.7142857,30.03,22.91428571
276,30.14,613.2285714,30.14,21.4
277,30.25,601.4285714,30.25,26.31428571
278,30.38,602.1142857,30.38,31.34285714
279,30.48,571.9428571,30.48,33.14285714
280,30.59,535.5142857,30.59,31.88571429
281,30.7,478.7714286,30.7,23.08571429
282,30.81,436.2285714,30.81,24.25714286
283,30.91,357.2,30.91,25.17142857
284,31.02,271.6857143,31.02,20.94285714
285,31.13,172.6571429,31.13,27.65714286
286,31.23,113,31.23,32.28571429
287,31.36,94.25714286,31.36,34.54285714
288,31.47,90.91428571,31.47,25.74285714
289,31.58,86.37142857,31.58,19.94285714
290,31.69,70.97142857,31.69,2.4
291,31.8,65.05714286,31.8,1.885714286
292,31.91,53.77142857,31.91,14.02857143
293,32.02,51.02857143,32.02,27.8
294,32.13,14.08571429,32.13,30.82857143
295,32.23,181.8285714,32.23,27.11428571
296,32.36,436.5428571,32.36,34.85714286
297,32.47,646.8857143,32.47,48.97142857
298,32.58,642.2857143,32.58,49.42857143
299,32.69,626.6571429,32.69,32.37142857
300,32.78,578.4571429,32.78,28.71428571
301,32.89,535.6571429,32.89,30.91428571
302,33,498.9714286,33,30.25714286
303,33.11,458.0571429,33.11,24.57142857
304,33.22,395.9714286,33.22,29.74285714
305,33.33,305.6857143,33.33,33.22857143
306,33.44,212.4,33.44,33.85714286
307,33.55,142.5142857,33.55,21.4
308,33.66,110.3714286,33.66,23.42857143
309,33.77,92.54285714,33.77,29.65714286
310,33.88,79.2,33.88,30.08571429
311,33.98,64.65714286,33.98,20.17142857
312,34.09,52.28571429,34.09,18.62857143
313,34.19,46.31428571,34.19,22.65714286
314,34.3,49.02857143,34.3,19.68571429
315,34.41,14.51428571,34.41,20.14285714
316,34.52,157.9142857,34.52,30.85714286
317,34.63,395.7142857,34.63,39.05714286
318,34.73,596.4,34.73,31.88571429
319,34.84,615.2,34.84,22.45714286
320,34.95,606.4857143,34.95,27.42857143
321,35.06,588.0857143,35.06,38.28571429
322,35.17,545.2857143,35.17,40.94285714
323,35.28,518.2285714,35.28,44.45714286
324,35.39,469.2571429,35.39,41.34285714
325,35.5,431.1714286,35.5,40.85714286
326,35.61,362,35.61,32.88571429
327,35.72,283.2571429,35.72,36.94285714
328,35.81,196.9142857,35.81,32.88571429
329,35.92,146.8285714,35.92,28.82857143
330,36.03,112.0857143,36.03,25.14285714
331,36.14,95.82857143,36.14,28.42857143
332,36.25,78.17142857,36.25,31.08571429
333,36.38,65.57142857,36.38,29.57142857
334,36.48,56.4,36.48,27.68571429
335,36.59,47.68571429,36.59,20.45714286
336,36.7,49.62857143,36.7,13.42857143
337,36.81,7.571428571,36.81,18.02857143
338,36.92,168.0857143,36.92,20.82857143
339,37.03,414.0857143,37.03,29.51428571
340,37.14,617.6571429,37.14,31.4
341,37.25,608.8285714,37.25,36.68571429
342,37.36,601.1714286,37.36,32.37142857
343,37.47,581.6571429,37.47,32.48571429
344,37.58,535.6571429,37.58,30.88571429
345,37.69,477.7428571,37.69,20.62857143
346,37.8,438.5142857,37.8,22.6
347,37.91,394.2571429,37.91,30.68571429
348,38.02,302.2285714,38.02,35.85714286
349,38.13,203.0857143,38.13,28.82857143
350,38.23,142.9714286,38.23,22.94285714
351,38.36,111.8857143,38.36,16.02857143
352,38.47,98.17142857,38.47,16.4
353,38.58,98.28571429,38.58,19.91428571
354,38.69,89.42857143,38.69,19.2
355,38.8,65.2,38.8,26.62857143
356,38.91,57.88571429,38.91,32.05714286
357,39.02,56.22857143,39.02,25.34285714
358,39.11,17.77142857,39.11,17.28571429
359,39.22,145.4571429,39.22,23.71428571
360,39.33,390.2571429,39.33,23.6
361,39.45,608.0285714,39.45,21.62857143
362,39.56,622.9428571,39.56,26.05714286
363,39.67,620.9428571,39.67,31.34285714
364,39.78,595.8857143,39.78,36.51428571
365,39.89,562.9142857,39.89,31.65714286
366,40,514.1428571,40,30.02857143
367,40.11,467.1142857,40.11,27.54285714
368,40.22,419.2,40.22,27.4
369,40.33,341.5428571,40.33,13.65714286
370,40.44,241.1142857,40.44,12.68571429
371,40.55,158.2857143,40.55,18.85714286
372,40.66,108.4,40.66,34.77142857
373,40.77,78.97142857,40.77,35.2
374,40.86,62.37142857,40.86,32.62857143
375,40.97,69.6,40.97,25.57142857
376,41.08,70,41.08,22.11428571
377,41.19,75.31428571,41.19,24.11428571
378,41.3,72.45714286,41.3,21.34285714
379,41.41,75.37142857,41.41,27.68571429
380,41.52,25,41.52,14.65714286
381,41.63,175.6,41.63,22.54285714
382,41.73,421.4571429,41.73,22.31428571
383,41.84,621.1428571,41.84,43.4
384,41.95,620.6857143,41.95,49.85714286
385,42.06,627.9714286,42.06,48.05714286
386,42.17,609.1714286,42.17,35.42857143
387,42.27,547.1428571,42.27,36.42857143
388,42.39,495.1428571,42.39,39.05714286
389,42.5,458.0571429,42.5,35.8
390,42.61,408.8857143,42.61,37.34285714
391,42.72,319.3142857,42.72,40.62857143
392,42.83,216.4571429,42.83,29.45714286
393,42.94,150.7428571,42.94,23.4
394,43.05,107.2571429,43.05,22.94285714
395,43.14,86.37142857,43.14,25.62857143
396,43.25,72.65714286,43.25,13.6
397,43.38,73.37142857,43.38,4.257142857
398,43.48,56.68571429,43.48,10
399,43.59,44.88571429,43.59,21.85714286
400,43.7,40.94285714,43.7,22.85714286
401,43.81,38.8,43.81,20.2
402,43.92,0,43.92,21.2
403,44.03,162.5142857,44.03,27.37142857
404,44.14,425.5428571,44.14,37.85714286
405,44.25,633.7428571,44.25,46.31428571
406,44.38,627.4857143,44.38,37.25714286
407,44.48,624.2857143,44.48,20.54285714
408,44.59,598.7142857,44.59,22.65714286
409,44.69,568.7142857,44.69,27.31428571
410,44.8,523.6,44.8,29.11428571
411,44.91,480.8,44.91,31.42857143
412,45.02,403.7714286,45.02,40.17142857
413,45.13,314.4285714,45.13,33.37142857
414,45.23,217.0285714,45.23,27.02857143
415,45.36,148.9714286,45.36,29.74285714
416,45.47,109.3714286,45.47,25.54285714
417,45.58,92.28571429,45.58,15.54285714
418,45.69,69.68571429,45.69,17.71428571
419,45.8,55.97142857,45.8,27.17142857
420,45.91,55.6,45.91,27.71428571
421,46.02,60.4,46.02,33.14285714
422,46.13,46.57142857,46.13,29.62857143
423,46.22,17.17142857,46.22,16.71428571
424,46.36,50.54285714,46.36,5.657142857
425,46.47,240.9428571,46.47,15.94285714
426,46.56,474.5714286,46.56,25.37142857
427,46.67,614.4857143,46.67,22
428,46.78,625.4,46.78,22.14285714
429,46.89,616.9428571,46.89,34.25714286
430,47,580.8285714,47,39.94285714
431,47.11,544.7142857,47.11,29.74285714
432,47.22,491.2571429,47.22,19.85714286
433,47.33,440.3714286,47.33,26.85714286
434,47.44,379.8857143,47.44,33.25714286
435,47.55,296.5428571,47.55,48.74285714
436,47.66,211.6,47.66,59.65714286
437,47.77,147.2571429,47.77,57.05714286
438,47.88,122.0571429,47.88,36.22857143
439,47.98,99.08571429,47.98,30.8
440,48.09,92.94285714,48.09,38.8
441,48.2,81.62857143,48.2,40.22857143
442,48.31,68.74285714,48.31,30.74285714
443,48.42,63.28571429,48.42,23.22857143
444,48.53,63.34285714,48.53,20.85714286
445,48.64,66.91428571,48.64,19.17142857
446,48.75,12.28571429,48.75,15.62857143
447,48.84,175.8285714,48.84,13.65714286
448,48.95,424.8571429,48.95,16.65714286
449,49.06,635.2,49.06,22.48571429
450,49.17,620.8,49.17,25.02857143
451,49.28,622,49.28,21.68571429
452,49.39,607.1714286,49.39,22.45714286
453,49.5,577.8571429,49.5,30.22857143
454,49.61,535.5428571,49.61,36.34285714
455,49.72,469.4571429,49.72,32.48571429
456,49.83,398.4571429,49.83,26.17142857
457,49.94,307.4571429,49.94,21.71428571
458,50.05,227,50.05,21.17142857
459,50.16,158.2857143,50.16,23.51428571
460,50.27,118.7142857,50.27,31.34285714
461,50.39,101.0857143,50.39,33.82857143
462,50.5,91.91428571,50.5,29.22857143
463,50.59,80.6,50.59,30.51428571
464,50.7,68.02857143,50.7,46.71428571
465,50.81,64.85714286,50.81,48.91428571
466,50.92,70.65714286,50.92,40.77142857
467,51.03,66.68571429,51.03,33.02857143
468,51.14,18.94285714,51.14,37.51428571
469,51.25,177.4285714,51.25,42.22857143
470,51.38,433.2,51.38,52.2
471,51.48,638.6,51.48,41.4
472,51.59,616.9428571,51.59,32.4
473,51.7,614,51.7,27.57142857
474,51.81,580.4285714,51.81,34.25714286
475,51.92,553,51.92,25.22857143
476,52.03,504.8571429,52.03,17.05714286
477,52.13,466.6285714,52.13,16.51428571
478,52.23,393.8285714,52.23,23.85714286
479,52.36,296.2285714,52.36,26.51428571
480,52.47,200.8571429,52.47,26.34285714
481,52.58,145.3428571,52.58,29.02857143
482,52.69,115.4571429,52.69,24.48571429
483,52.8,87.25714286,52.8,13.22857143
484,52.91,68.57142857,52.91,15.2
485,53.02,58.54285714,53.02,24.71428571
486,53.13,53.74285714,53.13,16.48571429
487,53.23,54.94285714,53.23,13.65714286
488,53.36,52.08571429,53.36,24.62857143
489,53.47,48.6,53.47,38.31428571
490,53.58,18.57142857,53.58,32.2
491,53.69,179.4857143,53.69,31.71428571
492,53.8,423.6285714,53.8,40.02857143
493,53.89,631.1428571,53.89,51.31428571
494,54,648.4857143,54,49.8
495,54.11,646.7714286,54.11,39.68571429
496,54.22,614.3142857,54.22,34
497,54.33,578.8571429,54.33,41.31428571
498,54.44,538.3428571,54.44,40.8
499,54.55,482.2571429,54.55,30.42857143
500,54.66,426.3428571,54.66,22.34285714
501,54.77,340.2,54.77,15.62857143
502,54.88,240.5142857,54.88,12.45714286
503,54.98,156.2,54.98,9.857142857
504,55.09,131.6,55.09,13.97142857
505,55.2,106.7428571,55.2,14.2
506,55.3,82.88571429,55.3,13.11428571
507,55.41,59.68571429,55.41,14.22857143
508,55.52,58.65714286,55.52,13.71428571
509,55.63,44.82857143,55.63,12.77142857
510,55.73,40.82857143,55.73,18.71428571
511,55.84,38.34285714,55.84,28.28571429
512,55.95,25.51428571,55.95,36.4
513,56.06,83.77142857,56.06,39.74285714
514,56.17,297.4,56.17,42.54285714
515,56.28,539.6571429,56.28,36.45714286
516,56.39,648.4571429,56.39,34.91428571
517,56.5,649.3714286,56.5,43.45714286
518,56.61,632.3142857,56.61,51.45714286
519,56.72,598.6857143,56.72,52.2
520,56.83,562.6285714,56.83,46.71428571
521,56.92,514.3142857,56.92,37.68571429
522,57.03,460.3142857,57.03,31.48571429
523,57.14,394.2285714,57.14,38
524,57.25,305.6571429,57.25,39.02857143
525,57.38,210.2857143,57.38,41.31428571
526,57.48,134.0571429,57.48,31.62857143
527,57.59,103.0571429,57.59,32.02857143
528,57.7,87.8,57.7,18.91428571
529,57.81,80.8,57.81,13.88571429
530,57.92,66.8,57.92,17.02857143
531,58.03,52.2,58.03,29.54285714
532,58.14,54.37142857,58.14,31.31428571
533,58.25,48.54285714,58.25,19.14285714
534,58.38,50.42857143,58.38,16.37142857
535,58.48,0.828571429,58.48,15.2
536,58.58,156.4285714,58.58,24.91428571
537,58.7,400.2571429,58.7,30.45714286
538,58.8,611.5428571,58.8,29.8
539,58.91,622.5714286,58.91,18.74285714
540,59.02,636.0857143,59.02,24.77142857
541,59.13,630.1714286,59.13,38.97142857
542,59.23,594.6285714,59.23,51.08571429
543,59.36,545.0857143,59.36,44.71428571
544,59.47,482.5714286,59.47,37.17142857
545,59.58,426.7142857,59.58,42.08571429
546,59.69,340.9428571,59.69,42.34285714
547,59.8,247.7714286,59.8,34.88571429
548,59.91,172.4285714,59.91,24.05714286
549,60.02,132.2285714,60.02,32.17142857
550,60.13,103.4857143,60.13,32.48571429
551,60.23,76.2,60.23,40.42857143
552,60.33,61.51428571,60.33,39.37142857
553,60.45,60.71428571,60.45,37.05714286
554,60.56,62.91428571,60.56,25.17142857
555,60.67,58.42857143,60.67,23.65714286
556,60.78,53.22857143,60.78,27.57142857
557,60.89,25.17142857,60.89,25.94285714
558,61,94.4,61,22.37142857
559,61.11,313,61.11,26.4
560,61.22,548.3142857,61.22,32.82857143
561,61.33,637.2571429,61.33,34.08571429
562,61.44,632.6857143,61.44,26.88571429
563,61.55,616.8,61.55,23
564,61.66,583.9714286,61.66,16.11428571
565,61.77,542.3714286,61.77,19.51428571
566,61.88,493.3714286,61.88,29.82857143
567,61.98,453.0857143,61.98,32.25714286
568,62.09,402.7142857,62.09,30.62857143
569,62.2,320.0285714,62.2,35.94285714
570,62.31,221.2571429,62.31,51.11428571
571,62.42,154.7142857,62.42,47.34285714
572,62.53,117.8571429,62.53,37.77142857
573,62.63,88.14285714,62.63,37.85714286
574,62.75,70.51428571,62.75,42.08571429
575,62.84,63.82857143,62.84,40.68571429
576,62.95,52.85714286,62.95,31.42857143
577,63.06,44.77142857,63.06,27.6
578,63.17,43.51428571,63.17,35.82857143
579,63.28,57.34285714,63.28,36.42857143
580,63.39,29.65714286,63.39,32.31428571
581,63.5,171.0571429,63.5,32.25714286
582,63.61,408.1142857,63.61,34.2
583,63.72,614.7142857,63.72,21.71428571
584,63.83,633.6,63.83,23.42857143
585,63.94,642.2285714,63.94,33.17142857
586,64.05,628.3142857,64.05,29.2
587,64.16,601.2285714,64.16,23.77142857
588,64.25,550.6857143,64.25,27.02857143
589,64.38,483.3142857,64.38,27.57142857
590,64.48,410.8857143,64.48,24
591,64.59,347.6857143,64.59,28.62857143
592,64.7,267.8571429,64.7,34.14285714
593,64.81,185.5142857,64.81,30.25714286
594,64.92,123.6285714,64.92,25.08571429
595,65.03,98.48571429,65.03,19.14285714
596,65.14,89.77142857,65.14,29.88571429
597,65.25,94.45714286,65.25,34.94285714
598,65.38,82.08571429,65.38,34.8
599,65.48,59.57142857,65.48,30.37142857
